minbound,shape,unit
-40,31,5
-100,18,5
0,8,5

IX,IY,IZ,value
5,8,0,0
5,8,1,55.6855
5,8,2,55.2678
5,8,3,54.7122
5,8,4,54.1158
5,8,5,53.5315
5,8,6,52.9813
5,8,7,52.4717
5,9,0,0
5,9,1,56.201
5,9,2,55.6839
5,9,3,55.0271
5,9,4,54.3508
5,9,5,53.7087
5,9,6,53.1176
5,9,7,52.5788
5,10,0,0
5,10,1,56.4108
5,10,2,55.8475
5,10,3,55.1468
5,10,4,54.4378
5,10,5,53.7731
5,10,6,53.1665
5,10,7,52.6168
5,11,0,0
5,11,1,56.3472
5,11,2,55.7983
5,11,3,55.1111
5,11,4,54.412
5,11,5,53.7541
5,11,6,53.1521
5,11,7,52.6056
5,12,0,0
5,12,1,56.3117
5,12,2,55.7707
5,12,3,55.0909
5,12,4,54.3974
5,12,5,53.7433
5,12,6,53.1439
5,12,7,52.5992
5,13,0,0
5,13,1,56.2653
5,13,2,55.7344
5,13,3,55.0643
5,13,4,54.378
5,13,5,53.7289
5,13,6,53.133
5,13,7,52.5907
5,14,0,0
5,14,1,56.2086
5,14,2,55.6899
5,14,3,55.0315
5,14,4,54.3541
5,14,5,53.7111
5,14,6,53.1194
5,14,7,52.5802
5,15,0,0
5,15,1,56.1606
5,15,2,55.652
5,15,3,55.0035
5,15,4,54.3335
5,15,5,53.6958
5,15,6,53.1078
5,15,7,52.5711
5,16,0,0
5,16,1,56.4388
5,16,2,55.8691
5,16,3,55.1624
5,16,4,54.4491
5,16,5,53.7814
5,16,6,53.1727
5,16,7,52.6217
5,17,0,0
5,17,1,0
5,17,2,0
5,17,3,0
5,17,4,0
5,17,5,0
5,17,6,0
5,17,7,0
6,0,0,0
6,0,1,0
6,0,2,0
6,0,3,0
6,0,4,0
6,0,5,0
6,0,6,0
6,0,7,0
6,1,0,0
6,1,1,56.4388
6,1,2,55.8691
6,1,3,55.1624
6,1,4,54.4491
6,1,5,53.7814
6,1,6,53.1727
6,1,7,52.6217
6,2,0,0
6,2,1,55.2866
6,2,2,54.9337
6,2,3,54.4491
6,2,4,53.9131
6,2,5,53.3749
6,2,6,52.8588
6,2,7,52.3742
6,3,0,0
6,3,1,54.3639
6,3,2,54.1268
6,3,3,53.7814
6,3,4,53.3749
6,3,5,52.944
6,3,6,52.5122
6,3,7,52.0926
6,4,0,0
6,4,1,53.6233
6,4,2,53.4521
6,4,3,53.1937
6,4,4,52.8769
6,4,5,52.5276
6,4,6,52.1652
6,4,7,51.8028
6,5,0,0
6,5,1,54.3174
6,5,2,54.085
6,5,3,53.7457
6,5,4,53.3453
6,5,5,52.9196
6,5,6,52.4922
6,5,7,52.0762
6,6,0,0
6,6,1,55.0962
6,6,2,54.7708
6,6,3,54.3178
6,6,4,53.8098
6,6,5,53.2939
6,6,6,52.7947
6,6,7,52.3228
6,7,0,0
6,7,1,55.9451
6,7,2,55.4798
6,7,3,54.8745
6,7,4,54.238
6,7,5,53.6242
6,7,6,53.0529
6,7,7,52.5281
6,8,0,0
6,8,1,56.7796
6,8,2,56.1264
6,8,3,55.3452
6,8,4,54.5791
6,8,5,53.8762
6,8,6,53.244
6,8,7,52.6767
6,9,0,0
6,9,1,57.507
6,9,2,56.6402
6,9,3,55.6905
6,9,4,54.8159
6,9,5,54.0449
6,9,6,53.3688
6,9,7,52.7722
6,10,0,0
6,10,1,57.9065
6,10,2,56.8999
6,10,3,55.8546
6,10,4,54.9242
6,10,5,54.1203
6,10,6,53.4238
6,10,7,52.8139
6,11,0,0
6,11,1,57.8163
6,11,2,56.8427
6,11,3,55.8191
6,11,4,54.901
6,11,5,54.1043
6,11,6,53.4121
6,11,7,52.805
6,12,0,0
6,12,1,57.7673
6,12,2,56.8112
6,12,3,55.7994
6,12,4,54.8881
6,12,5,54.0953
6,12,6,53.4056
6,12,7,52.8001
6,13,0,0
6,13,1,57.7124
6,13,2,56.7758
6,13,3,55.7771
6,13,4,54.8734
6,13,5,54.0851
6,13,6,53.3982
6,13,7,52.7945
6,14,0,0
6,14,1,57.6371
6,14,2,56.7266
6,14,3,55.7459
6,14,4,54.8528
6,14,5,54.0707
6,14,6,53.3877
6,14,7,52.7866
6,15,0,0
6,15,1,57.5618
6,15,2,56.6768
6,15,3,55.714
6,15,4,54.8316
6,15,5,54.0559
6,15,6,53.3769
6,15,7,52.7784
6,16,0,0
6,16,1,57.5189
6,16,2,56.6481
6,16,3,55.6956
6,16,4,54.8193
6,16,5,54.0473
6,16,6,53.3706
6,16,7,52.7736
6,17,0,0
6,17,1,0
6,17,2,0
6,17,3,0
6,17,4,0
6,17,5,0
6,17,6,0
6,17,7,0
7,0,0,0
7,0,1,0
7,0,2,0
7,0,3,0
7,0,4,0
7,0,5,0
7,0,6,0
7,0,7,0
7,1,0,0
7,1,1,56.4388
7,1,2,55.8691
7,1,3,55.1624
7,1,4,54.4491
7,1,5,53.7814
7,1,6,53.1727
7,1,7,52.6217
7,2,0,0
7,2,1,55.2866
7,2,2,54.9337
7,2,3,54.4491
7,2,4,53.9131
7,2,5,53.3749
7,2,6,52.8588
7,2,7,52.3742
7,3,0,0
7,3,1,54.3639
7,3,2,54.1268
7,3,3,53.7814
7,3,4,53.3749
7,3,5,52.944
7,3,6,52.5122
7,3,7,52.0926
7,4,0,0
7,4,1,53.8483
7,4,2,53.6592
7,4,3,53.3765
7,4,4,53.034
7,4,5,52.6606
7,4,6,52.2773
7,4,7,51.8972
7,5,0,0
7,5,1,54.6336
7,5,2,54.367
7,5,3,53.9846
7,5,4,53.542
7,5,5,53.08
7,5,6,52.623
7,5,7,52.1836
7,6,0,0
7,6,1,55.5644
7,6,2,55.1675
7,6,3,54.6341
7,6,4,54.0562
7,6,5,53.4858
7,6,6,52.9458
7,6,7,52.4435
7,7,0,0
7,7,1,56.679
7,7,2,56.0514
7,7,3,55.2926
7,7,4,54.542
7,7,5,53.8493
7,7,6,53.2239
7,7,7,52.6612
7,8,0,0
7,8,1,57.9668
7,8,2,56.9376
7,8,3,55.8779
7,8,4,54.9393
7,8,5,54.1307
7,8,6,53.4313
7,8,7,52.8196
7,9,0,0
7,9,1,59.0953
7,9,2,57.569
7,9,3,56.2433
7,9,4,55.1694
7,9,5,54.2866
7,9,6,53.5432
7,9,7,52.9034
7,10,0,0
7,10,1,59.8866
7,10,2,57.925
7,10,3,56.4293
7,10,4,55.281
7,10,5,54.3603
7,10,6,53.5952
7,10,7,52.9421
7,11,0,0
7,11,1,59.7572
7,11,2,57.8716
7,11,3,56.4023
7,11,4,55.265
7,11,5,54.3498
7,11,6,53.5879
7,11,7,52.9366
7,12,0,0
7,12,1,59.6826
7,12,2,57.84
7,12,3,56.3862
7,12,4,55.2555
7,12,5,54.3436
7,12,6,53.5835
7,12,7,52.9333
7,13,0,0
7,13,1,59.6363
7,13,2,57.8201
7,13,3,56.376
7,13,4,55.2494
7,13,5,54.3396
7,13,6,53.5806
7,13,7,52.9312
7,14,0,0
7,14,1,59.5385
7,14,2,57.7772
7,14,3,56.3538
7,14,4,55.2362
7,14,5,54.3309
7,14,6,53.5745
7,14,7,52.9267
7,15,0,0
7,15,1,59.4
7,15,2,57.7145
7,15,3,56.3211
7,15,4,55.2165
7,15,5,54.3179
7,15,6,53.5653
7,15,7,52.9199
7,16,0,0
7,16,1,59.3759
7,16,2,57.7034
7,16,3,56.3152
7,16,4,55.213
7,16,5,54.3156
7,16,6,53.5637
7,16,7,52.9187
7,17,0,0
7,17,1,0
7,17,2,0
7,17,3,0
7,17,4,0
7,17,5,0
7,17,6,0
7,17,7,0
8,0,0,0
8,0,1,0
8,0,2,0
8,0,3,0
8,0,4,0
8,0,5,0
8,0,6,0
8,0,7,0
8,1,0,0
8,1,1,56.4388
8,1,2,55.8691
8,1,3,55.1624
8,1,4,54.4491
8,1,5,53.7814
8,1,6,53.1727
8,1,7,52.6217
8,2,0,0
8,2,1,55.2866
8,2,2,54.9337
8,2,3,54.4491
8,2,4,53.9131
8,2,5,53.3749
8,2,6,52.8588
8,2,7,52.3742
8,3,0,0
8,3,1,54.3639
8,3,2,54.1268
8,3,3,53.7814
8,3,4,53.3749
8,3,5,52.944
8,3,6,52.5122
8,3,7,52.0926
8,4,0,0
8,4,1,53.9563
8,4,2,53.758
8,4,3,53.463
8,4,4,53.1077
8,4,5,52.7225
8,4,6,52.329
8,4,7,51.9405
8,5,0,0
8,5,1,54.7904
8,5,2,54.5051
8,5,3,54.0997
8,5,4,53.6355
8,5,5,53.1553
8,5,6,52.6838
8,5,7,52.2331
8,6,0,0
8,6,1,55.81
8,6,2,55.3701
8,6,3,54.791
8,6,4,54.1754
8,6,5,53.5769
8,6,6,53.0164
8,6,7,52.4994
8,7,0,0
8,7,1,57.1064
8,7,2,56.3634
8,7,3,55.5078
8,7,4,54.6921
8,7,5,53.9574
8,7,6,53.3044
8,7,7,52.7231
8,8,0,0
8,8,1,58.815
8,8,2,57.4257
8,8,3,56.1642
8,8,4,55.1209
8,8,5,54.2542
8,8,6,53.5201
8,8,7,52.8862
8,9,0,0
8,9,1,60.7991
8,9,2,58.2501
8,9,3,56.5865
8,9,4,55.3722
8,9,5,54.4195
8,9,6,53.6367
8,9,7,52.9727
8,10,0,0
8,10,1,61.4374
8,10,2,58.4281
8,10,3,56.6674
8,10,4,55.4181
8,10,5,54.449
8,10,6,53.6572
8,10,7,52.9878
8,11,0,0
8,11,1,61.3625
8,11,2,58.4092
8,11,3,56.659
8,11,4,55.4134
8,11,5,54.446
8,11,6,53.6551
8,11,7,52.9862
8,12,0,0
8,12,1,61.2993
8,12,2,58.3928
8,12,3,56.6516
8,12,4,55.4092
8,12,5,54.4433
8,12,6,53.6533
8,12,7,52.9849
8,13,0,0
8,13,1,61.3867
8,13,2,58.4154
8,13,3,56.6617
8,13,4,55.4149
8,13,5,54.447
8,13,6,53.6558
8,13,7,52.9867
8,14,0,0
8,14,1,61.3547
8,14,2,58.4072
8,14,3,56.6581
8,14,4,55.4128
8,14,5,54.4457
8,14,6,53.6549
8,14,7,52.9861
8,15,0,0
8,15,1,61.2082
8,15,2,58.3685
8,15,3,56.6407
8,15,4,55.403
8,15,5,54.4394
8,15,6,53.6505
8,15,7,52.9829
8,16,0,0
8,16,1,61.2508
8,16,2,58.38
8,16,3,56.6459
8,16,4,55.406
8,16,5,54.4413
8,16,6,53.6518
8,16,7,52.9838
8,17,0,0
8,17,1,0
8,17,2,0
8,17,3,0
8,17,4,0
8,17,5,0
8,17,6,0
8,17,7,0
9,0,0,0
9,0,1,0
9,0,2,0
9,0,3,0
9,0,4,0
9,0,5,0
9,0,6,0
9,0,7,0
9,1,0,0
9,1,1,56.4388
9,1,2,55.8691
9,1,3,55.1624
9,1,4,54.4491
9,1,5,53.7814
9,1,6,53.1727
9,1,7,52.6217
9,2,0,0
9,2,1,55.2866
9,2,2,54.9337
9,2,3,54.4491
9,2,4,53.9131
9,2,5,53.3749
9,2,6,52.8588
9,2,7,52.3742
9,3,0,0
9,3,1,54.3639
9,3,2,54.1268
9,3,3,53.7814
9,3,4,53.3749
9,3,5,52.944
9,3,6,52.5122
9,3,7,52.0926
9,4,0,0
9,4,1,53.972
9,4,2,53.7723
9,4,3,53.4755
9,4,4,53.1182
9,4,5,52.7313
9,4,6,52.3364
9,4,7,51.9467
9,5,0,0
9,5,1,54.8107
9,5,2,54.5228
9,5,3,54.1145
9,5,4,53.6473
9,5,5,53.1648
9,5,6,52.6915
9,5,7,52.2394
9,6,0,0
9,6,1,55.838
9,6,2,55.3929
9,6,3,54.8084
9,6,4,54.1885
9,6,5,53.5868
9,6,6,53.0241
9,6,7,52.5055
9,7,0,0
9,7,1,57.1493
9,7,2,56.3938
9,7,3,55.5282
9,7,4,54.7061
9,7,5,53.9674
9,7,6,53.3118
9,7,7,52.7287
9,8,0,0
9,8,1,58.8919
9,8,2,57.4659
9,8,3,56.1867
9,8,4,55.1347
9,8,5,54.2635
9,8,6,53.5267
9,8,7,52.8911
9,9,0,0
9,9,1,60.9488
9,9,2,58.2952
9,9,3,56.6074
9,9,4,55.3841
9,9,5,54.4272
9,9,6,53.6421
9,9,7,52.9766
9,10,0,0
9,10,1,0
9,10,2,0
9,10,3,0
9,10,4,0
9,10,5,0
9,10,6,0
9,10,7,0
9,11,0,0
9,11,1,0
9,11,2,0
9,11,3,0
9,11,4,0
9,11,5,0
9,11,6,0
9,11,7,0
9,12,0,0
9,12,1,0
9,12,2,0
9,12,3,0
9,12,4,0
9,12,5,0
9,12,6,0
9,12,7,0
9,13,0,0
9,13,1,0
9,13,2,0
9,13,3,0
